Year,Time,Node_ID,Event_Name,Individual_ID,Age,Gender,Infected,Infectiousness
55,20075,559,Emigrating,18212,7141,M,0,0
55,20075,483,Emigrating,17767,7679,F,0,0
55,20075,456,Emigrating,23315,1268,M,0,0
55,20075,1001,NewClinicalCase,23995,446,M,1,0
55,20075,1001,NewClinicalCase,21691,3149,F,1,0.000932588
55,20075,1001,NewInfectionEvent,7300,19681,F,1,0
55,20075,1001,Received_Treatment,24303,90,F,1,0.000631174
55,20075,192,Emigrating,17664,7783,M,0,0
55.0027,20076,614,Emigrating,23209,1389,F,0,0
55.0027,20076,568,Emigrating,15764,9990,F,0,0
55.0027,20076,356,Emigrating,9888,16697,M,0,0
55.0027,20076,1001,NewClinicalCase,23534,1006,M,1,0
55.0027,20076,1001,Received_Treatment,23425,1122,F,1,0.0001299
55.0027,20076,1001,NewClinicalCase,13168,12986,M,1,6.37266e-07
55.0027,20076,1001,Received_Treatment,13168,12986,M,1,6.37266e-07
55.0027,20076,142,Emigrating,24049,386,M,0,0
55.0027,20076,111,Emigrating,7188,19794,M,0,0
55.0055,20077,650,Emigrating,10548,15950,M,0,0
55.0055,20077,1001,NewInfectionEvent,1997,20360.8,F,1,0
55.0055,20077,1001,NewInfectionEvent,19307,5834,F,1,7.1259e-05
55.0055,20077,1001,NewClinicalCase,22385,2353,M,1,0
55.0055,20077,1001,Received_Treatment,22385,2353,M,1,0
55.0055,20077,1001,NewClinicalCase,22945,1691,M,1,0.00284815
55.0055,20077,290,Emigrating,18443,6879,F,0,0
55.0055,20077,192,Emigrating,24347,38,M,0,0
55.0055,20077,65,Emigrating,12058,14262,F,0,0
55.0055,20077,20,Emigrating,23209,1390,F,0,0
55.0082,20078,402,Emigrating,16949,8636,F,0,0
55.0082,20078,1001,Received_Treatment,23995,449,M,1,0
55.0082,20078,1001,NewClinicalCase,24000,439,F,1,0.000127279
55.0082,20078,1001,Received_Treatment,20634,4389,F,1,0.143856
55.0082,20078,1001,Received_Treatment,23534,1008,M,1,0
55.0082,20078,1001,NewClinicalCase,18516,6793,F,1,0
55.0082,20078,192,Emigrating,7188,19796,M,0,0
55.0082,20078,120,Emigrating,24227,184,M,0,0
55.0082,20078,63,Emigrating,21734,3111,M,0,0
55.011,20079,443,Emigrating,21268,3627,F,0,0
55.011,20079,345,Emigrating,10036,16520,F,0,0
55.011,20079,1001,NewInfectionEvent,14000,12028,F,1,0.000450787
55.011,20079,1001,NewClinicalCase,18954,6253,F,1,1.12571e-06
55.011,20079,1001,Received_Treatment,24000,440,F,1,3.18102e-05
55.011,20079,1001,NewInfectionEvent,17159,8415,F,1,2.83407e-07
55.011,20079,1001,Received_Treatment,21886,2934,M,1,0.000107568
55.0137,20080,357,Emigrating,9242,17407,M,0,0
55.0137,20080,297,Emigrating,15273,10552,M,0,0
55.0137,20080,1001,NewInfectionEvent,16233,9453,F,1,0.000259146
55.0137,20080,1001,NewInfectionEvent,13853,12206,F,1,0.00021994
55.0137,20080,1001,NewInfectionEvent,19893,5170,M,1,0.00287216
55.0137,20080,1001,NewInfectionEvent,13941,12102,M,1,0.000378751
55.0137,20080,79,Emigrating,15764,9994,F,0,0
55.0164,20081,602,Emigrating,12058,14266,F,0,0
55.0164,20081,562,Emigrating,16393,9269,F,0,0
55.0164,20081,391,Emigrating,20504,4525,F,0,0
55.0164,20081,360,Emigrating,22383,2360,F,0,0
55.0164,20081,319,Emigrating,19227,5931,F,0,0
55.0164,20081,1001,NewInfectionEvent,15984,9729,F,1,0
55.0164,20081,1001,Received_Treatment,22945,1695,M,1,0.0125273
55.0164,20081,1001,NewInfectionEvent,12534,13743,F,1,1.45122e-05
55.0192,20082,506,Emigrating,16599,9038,M,0,0
55.0192,20082,470,Emigrating,16949,8640,F,0,0
55.0192,20082,1001,NewInfectionEvent,11851,14506,F,1,0.000193147
55.0192,20082,1001,NewClinicalCase,20962,4022,F,1,0.000174476
55.0192,20082,1001,NewInfectionEvent,15228,10605,F,1,0
55.0192,20082,1001,Emigrating,15899,9838,M,0,0
55.0192,20082,267,Emigrating,10036,16523,F,0,0
55.0219,20083,715,Emigrating,18443,6885,F,0,0
55.0219,20083,650,Emigrating,16599,9039,M,0,0
55.0219,20083,628,Emigrating,12585,13687,F,0,0
55.0219,20083,511,Emigrating,14126,11885,F,0,0
55.0219,20083,446,Emigrating,15273,10555,M,0,0
55.0219,20083,431,Emigrating,22736,1950,F,0,0
55.0219,20083,361,Emigrating,24227,189,M,0,0
55.0219,20083,1001,NewInfectionEvent,17975,7441,F,1,0
55.0219,20083,1001,NewClinicalCase,18904,6332,M,1,0
55.0219,20083,1001,NewInfectionEvent,14871,11023,F,1,4.43819e-05
55.0219,20083,1001,NewClinicalCase,20402,4644,M,1,0.00654644
55.0247,20084,650,Emigrating,9242,17411,M,0,0
55.0247,20084,572,Emigrating,9888,16705,M,0,0
55.0247,20084,340,Emigrating,18085,7313,M,0,0
55.0247,20084,1001,NewInfectionEvent,15856,9885,F,1,0
55.0247,20084,1001,Received_Treatment,18904,6333,M,1,0
55.0247,20084,1001,NewInfectionEvent,19685,5403,F,1,0
55.0247,20084,1001,NewInfectionEvent,14132,11883,F,1,0
55.0274,20085,379,Emigrating,12444,13863,M,0,0
55.0274,20085,326,Emigrating,21124,3848,M,0,0
55.0274,20085,298,Emigrating,15960,9767,F,0,0
55.0274,20085,1001,NewClinicalCase,22547,2187,M,1,0
55.0274,20085,1001,Received_Treatment,22547,2187,M,1,0
55.0274,20085,1001,NewInfectionEvent,11049,15410,M,1,0
